"","language","corr","pvalue","hb_pvalue"
"1","Korean",-0.170240056149726,3.45419904573382e-52,8.29007770976118e-51
"2","Czech",-0.148105297484527,1.13997217658669e-37,2.6219360061494e-36
"3","Russian",-0.126668573972318,2.75323389895439e-27,6.05711457769966e-26
"4","Polish",-0.125171606611944,2.76476108297105e-27,6.05711457769966e-26
"5","Finnish",-0.119852930298056,2.3314927465142e-24,4.66298549302839e-23
"6","Turkish",-0.121575789326892,4.33469340794285e-24,8.23591747509142e-23
"7","Italian",-0.129647433557349,5.3074383737245e-24,9.55338907270409e-23
"8","Arabic",-0.123017299621085,5.74583687465589e-24,9.76792268691502e-23
"9","Thai",-0.157826560712424,8.02994519597056e-23,1.28479123135529e-21
"10","German",-0.121882210142719,2.64028096860096e-22,3.96042145290144e-21
"11","Swedish",-0.124706554594698,5.50156331160848e-22,7.70218863625188e-21
"12","French",-0.121712128647614,3.29006241829033e-20,4.27708114377743e-19
"13","Hindi",-0.128357697652538,9.88372491692369e-20,1.18604699003084e-18
"14","Japanese-romaji",-0.128296387743138,1.50057517999457e-19,1.65063269799403e-18
"15","Portuguese",-0.117885049638667,2.50448298418801e-19,2.50448298418801e-18
"16","Spanish",-0.113871485754391,2.11676171901198e-18,1.90508554711078e-17
"17","Icelandic",-0.109465357696478,3.17379771526444e-18,2.53903817221155e-17
"18","English",-0.118635921741935,1.07641638280801e-17,7.53491467965609e-17
"19","Chinese-pinyin",-0.117130878479162,5.95675820210503e-17,3.57405492126302e-16
"20","Japanese-strokes",-0.113053014195843,1.41528421328452e-15,7.07642106642258e-15
"21","Indonesian",-0.114781312561036,2.97147053517608e-15,1.18858821407043e-14
"22","Chinese",-0.11035519796334,3.05328033717167e-15,1.18858821407043e-14
"23","Japanese",-0.0803337503323005,1.05113394130717e-08,2.10226788261434e-08
"24","Chinese-strokes",-0.0313587799060674,0.0135274100560097,0.0135274100560097
